,chain,addr,protocol_name,addrChecksum,type
111,eth,0x084e8d63adfa12e5b31d80d914ba5c74c3c4092c,Balancer,0x084e8d63aDfa12E5b31D80d914BA5c74c3c4092C,err_cannot_get_abi
112,eth,0x084e8d63adfa12e5b31d80d914ba5c74c3c4092c,Balancer,0x084e8d63aDfa12E5b31D80d914BA5c74c3c4092C,err_cannot_get_abi
113,eth,0x60b4601cdddc4467f31b1f770cb93c51dc7dc728,Balancer,0x60B4601cDdDc4467f31b1F770cb93c51dC7dC728,Balancer_Weighted_Math
114,eth,0xe530e6c02ade4a6a1c43dbaa511d194d4c835468,Balancer,0xE530e6C02ade4A6a1C43DBaa511d194D4c835468,err_cannot_get_abi
115,eth,0x3ccf90a2309cf0fa1e9f1551f3af2227197b9afe,Balancer,0x3Ccf90a2309cF0FA1E9f1551F3AF2227197B9aFe,err_cannot_get_abi
116,eth,0x3ccf90a2309cf0fa1e9f1551f3af2227197b9afe,Balancer,0x3Ccf90a2309cF0FA1E9f1551F3AF2227197B9aFe,err_cannot_get_abi
117,eth,0x3d562b56de5e93ea86cfd521e786abd143435917,Balancer,0x3d562b56DE5E93ea86cFd521e786Abd143435917,err_cannot_get_abi
118,eth,0x78ba4fbd299a78049d9df86ddf591f415b5e6f30,Balancer,0x78bA4FBd299A78049D9DF86dDf591f415B5E6f30,err_cannot_get_abi
119,eth,0x78ba4fbd299a78049d9df86ddf591f415b5e6f30,Balancer,0x78bA4FBd299A78049D9DF86dDf591f415B5E6f30,err_cannot_get_abi
120,eth,0x3e5fa9518ea95c3e533eb377c001702a9aacaa32,Balancer,0x3e5FA9518eA95c3E533EB377C001702A9AaCAA32,Balancer_Weighted_Math
121,eth,0x61d5dc44849c9c87b0856a2a311536205c96c7fd,Balancer,0x61d5dc44849c9C87b0856a2a311536205C96c7FD,Balancer_Weighted_Math
122,eth,0x61d5dc44849c9c87b0856a2a311536205c96c7fd,Balancer,0x61d5dc44849c9C87b0856a2a311536205C96c7FD,Balancer_Weighted_Math
123,eth,0x20facecaa68e9b7c92d2d0ec9136d864df805233,Balancer,0x20FacEcaa68E9b7c92d2d0ec9136D864Df805233,Balancer_Weighted_Math
124,eth,0xeda373179f47e37bb3c9712b19d4b7493d106a9f,Balancer,0xEdA373179f47e37BB3C9712B19D4b7493D106A9F,err_cannot_get_abi
125,eth,0x29d7a7e0d781c957696697b94d4bc18c651e358e,Balancer,0x29d7a7E0d781C957696697B94D4Bc18C651e358E,err_cannot_get_abi
126,eth,0x29d7a7e0d781c957696697b94d4bc18c651e358e,Balancer,0x29d7a7E0d781C957696697B94D4Bc18C651e358E,err_cannot_get_abi
127,eth,0x4facd9f02225d2ca97c16155794bfe5dc2de74b7,Balancer,0x4facD9F02225d2ca97C16155794BFE5dc2DE74B7,err_cannot_get_abi
128,eth,0x4facd9f02225d2ca97c16155794bfe5dc2de74b7,Balancer,0x4facD9F02225d2ca97C16155794BFE5dc2DE74B7,err_cannot_get_abi
129,eth,0x702605f43471183158938c1a3e5f5a359d7b31ba,Balancer,0x702605F43471183158938C1a3e5f5A359d7b31ba,Balancer_Weighted_Math
130,eth,0x702605f43471183158938c1a3e5f5a359d7b31ba,Balancer,0x702605F43471183158938C1a3e5f5A359d7b31ba,Balancer_Weighted_Math
131,eth,0x7819f1532c49388106f7762328c51ee70edd134c,Balancer,0x7819f1532c49388106f7762328c51eE70EdD134c,Balancer_Weighted_Math
132,eth,0x7819f1532c49388106f7762328c51ee70edd134c,Balancer,0x7819f1532c49388106f7762328c51eE70EdD134c,Balancer_Weighted_Math
133,eth,0x494b26d4aee801cb1fabf498ee24f0af20238743,Balancer,0x494B26D4aEE801Cb1fabF498Ee24f0af20238743,Balancer_Weighted_Math
134,eth,0x0868f7a5045847845d0a0b2a2220102addf642d8,Balancer,0x0868f7A5045847845D0A0B2a2220102adDf642d8,Balancer_Weighted_Math
135,eth,0x400c8f03df41058252caa9ccdbb6480cbce2eb3b,Balancer,0x400C8f03df41058252caA9CCDbb6480CbCe2eB3b,err_cannot_get_abi
136,eth,0x314c1a82e147489c7a65f7051e742c9d6981438e,Balancer,0x314C1A82e147489c7A65F7051e742C9d6981438E,Balancer_Weighted_Math
137,eth,0x314c1a82e147489c7a65f7051e742c9d6981438e,Balancer,0x314C1A82e147489c7A65F7051e742C9d6981438E,Balancer_Weighted_Math
138,eth,0x364a01a54f83f9c36923b584e6200b5b6aa9f68d,Balancer,0x364A01a54F83f9C36923B584e6200b5b6aa9F68d,err_cannot_get_abi
139,eth,0x2d344a84bac123660b021eebe4eb6f12ba25fe86,Balancer,0x2D344A84BaC123660b021EEbE4eB6F12ba25fe86,Balancer_Weighted_Math
140,eth,0x42735b63116ffad66dbe3a63211d387cd98e4935,Balancer,0x42735B63116ffaD66DBe3A63211D387cD98e4935,err_cannot_get_abi
141,eth,0x42735b63116ffad66dbe3a63211d387cd98e4935,Balancer,0x42735B63116ffaD66DBe3A63211D387cD98e4935,err_cannot_get_abi
142,eth,0xe24281bc68c2a56e19b67b3787fd5e95937bd970,Balancer,0xE24281bc68C2a56e19B67b3787Fd5e95937bd970,Balancer_Weighted_Math
143,eth,0x5aa90c7362ea46b3cbfbd7f01ea5ca69c98fef1c,Balancer,0x5Aa90c7362ea46b3cbFBD7F01EA5Ca69C98Fef1c,Balancer_Weighted_Math
144,eth,0x77952e11e1ba727ffcea95a0f38ed7da586eebc7,Balancer,0x77952E11E1ba727FfceA95a0f38Ed7DA586EeBc7,Balancer_Weighted_Math
