chain,addr,addrChecksum,type
polygon,0xa2fc0e7b29d3768dec096ff27435a7cdcff0dd39,,
polygon,0xcacba79427a10008804add4f642275ae76419d6a,0x6F52B7878D1857836F9d2915847a878a4BC6bB78,UniswapV3_Math
