chain,addr,protocol_name,type,addrChecksum
eth,0x4f062658eaaf2c1ccf8c8e36d6824cdf41167956,Curve,Curve_V1_Stable_Math,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956
eth,0xe3c190c57b5959ae62efe3b6797058b76ba2f5ef,Curve,Curve_V1_Stable_Math,0xe3c190c57b5959Ae62EfE3B6797058B76bA2f5eF
eth,0x6e314039f4c56000f4ebb3a7854a84cc6225fb92,Curve,Curve_V2_Crypo_Math,0x6e314039f4C56000F4ebb3a7854A84cC6225Fb92
eth,0x326290a1b0004eee78fa6ed4f1d8f4b2523ab669,Curve,Curve_V1_Stable_Math,0x326290A1B0004eeE78fa6ED4F1d8f4b2523ab669
eth,0x74ed5d42203806c8cdcf2f04ca5f60dc777b901c,Curve,Curve_V2_Crypo_Math,0x74ED5d42203806c8CDCf2F04Ca5F60DC777b901c
eth,0x74ed5d42203806c8cdcf2f04ca5f60dc777b901c,Curve,Curve_V2_Crypo_Math,0x74ED5d42203806c8CDCf2F04Ca5F60DC777b901c
eth,0x74ed5d42203806c8cdcf2f04ca5f60dc777b901c,Curve,Curve_V2_Crypo_Math,0x74ED5d42203806c8CDCf2F04Ca5F60DC777b901c
eth,0x0ce6a5ff5217e38315f87032cf90686c96627caa,Curve,Curve_V1_Stable_Math,0x0Ce6a5fF5217e38315f87032CF90686C96627CAA
eth,0x0ce6a5ff5217e38315f87032cf90686c96627caa,Curve,Curve_V1_Stable_Math,0x0Ce6a5fF5217e38315f87032CF90686C96627CAA
eth,0x0e9b5b092cad6f1c5e6bc7f89ffe1abb5c95f1c2,Curve,Curve_V2_Crypo_Math,0x0E9B5B092caD6F1c5E6bc7f89Ffe1abb5c95F1C2
eth,0x5fae7e604fc3e24fd43a72867cebac94c65b404a,Curve,Curve_V2_Crypo_Math,0x5FAE7E604FC3e24fd43A72867ceBaC94c65b404A
eth,0xf7b55c3732ad8b2c2da7c24f30a69f55c54fb717,Curve,Curve_V1_Stable_Math,0xf7b55C3732aD8b2c2dA7c24f30A69f55c54FB717
eth,0xf7b55c3732ad8b2c2da7c24f30a69f55c54fb717,Curve,Curve_V1_Stable_Math,0xf7b55C3732aD8b2c2dA7c24f30A69f55c54FB717
eth,0xbec570d92afb7ffc553bdd9d4b4638121000b10d,Curve,Curve_V2_Crypo_Math,0xBEc570d92AFB7fFc553bdD9d4B4638121000b10D
eth,0x31c325a01861c7dbd331a9270296a31296d797a0,Curve,Curve_V2_Crypo_Math,0x31c325A01861c7dBd331a9270296a31296D797A0
eth,0x6a6283ab6e31c2aec3fa08697a8f806b740660b2,Curve,Curve_V2_Crypo_Math,0x6a6283aB6e31C2AeC3fA08697A8F806b740660b2
